id,subject,file_path,line_number,content
626299,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-server/target/surefire-reports/org.apache.hadoop.hbase.master.procedure.TestMasterProcedureScheduler-output.txt,37,"2021-03-01 22:22:20,745 DEBUG [Time-limited test] procedure.TestMasterProcedureScheduler(665): fetch children pid=3, ppid=2, state=RUNNABLE, hasLock=false; TestRegionProcedure(regions=[{ENCODED => 1122f437417d7609ed4c73fc714392e6, NAME => 'testRootXLockAndChildrenSharedLock,a,1614655340743.1122f437417d7609ed4c73fc714392e6.', STARTKEY => 'a', ENDKEY => 'b'}])"
634803,tomcat-master,/Users/holen/DegreeProject/mstracker-RQ3/tomcat-master/output/build/logs/TEST-org.apache.catalina.mapper.TestMapperPerformance.NIO.txt,8,"03-Mar-2021 00:31:27.809 INFO [main] org.apache.catalina.mapper.TestMapperPerformance.testPerformance Host [owefojiwefoi], Time [123]ms"
16220,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.advisory.ProducerListenerTest-output.txt,19,"2020-12-10 14:39:01,778 [main           ] - INFO  ProducerListenerTest           - Creating consumer: Consumer: 2 on destination: queue://org.apache.activemq.advisory.ProducerListenerTest.testListenWhileAlreadyConsumersActive"
84870,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.server.blockmanagement.TestSortLocatedStripedBlock-output.txt,78,"2021-01-27 11:28:17,278 [Time-limited test] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=13, locs=DatanodeInfoWithStorage[127.0.0.1:8,289f3749-24fa-496e-9323-c0c12c219456,DISK], j="
79125,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.server.namenode.TestSaveNamespace-output.txt,155,"2021-01-27 14:06:16,810 [FSImageSaver for /home/users/hzhang/project/repo2test/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name2 of type IMAGE_AND_EDITS] INFO  namenode.TestSaveNamespace (TestSaveNamespace.java:answer(116)) - Not injecting fault for sd: Storage Directory root= /home/users/hzhang/project/repo2test/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/name2; location= null"
632302,pig-trunk,/Users/holen/DegreeProject/mstracker-RQ3/pig-trunk/build/test/logs/TEST-org.apache.pig.test.TestParamSubPreproc.txt,586,"2021-03-07 22:55:30,087 [main] INFO  org.apache.pig.test.TestParamSubPreproc - Starting test testCmdnameAsParamDeclare()"
58536,hadoop-trunk,/Users/holen/DegreeProject/mstracker-RQ3/hadoop-trunk/hadoop-hdfs-project/hadoop-hdfs/target/surefire-reports/org.apache.hadoop.hdfs.server.blockmanagement.TestBlockReportRateLimiting-output.txt,1163,"2021-01-27 11:28:35,690 [IPC Server handler 1 on default port 41339] INFO  blockmanagement.TestBlockReportRateLimiting (TestBlockReportRateLimiting.java:requestBlockReportLease(114)) - requestBlockReportLease(node=127.0.0.1:38147, leaseId=0x8317a9cd63665c05).  expectedFbrDns = 127.0.0.1:38147"
628236,hive-master,/Users/holen/DegreeProject/mstracker-RQ3/hive-master/hcatalog/core/target/surefire-reports/org.apache.hive.hcatalog.mapreduce.TestHCatMultiOutputFormat-output.txt,880,"2021-01-27T13:04:33,824  INFO [main] mapreduce.TestHCatMultiOutputFormat: File permissions verified"
12795,activemq-master,/Users/holen/DegreeProject/mstracker-RQ3/activemq-master/activemq-unit-tests/target/surefire-reports/org.apache.activemq.bugs.AMQ7270Test-output.txt,8,"2020-12-10 16:43:43,838 [main           ] - INFO  AMQ7270Test                    - BIG Size: 150"
626209,hbase-master,/Users/holen/DegreeProject/mstracker-RQ3/hbase-master/hbase-server/target/surefire-reports/org.apache.hadoop.hbase.regionserver.TestStoreScanner-output.txt,48,"2021-03-01 22:31:46,742 INFO  [Time-limited test] regionserver.TestStoreScanner$CellGridStoreScanner(244): Cell=2/cf:1/1/Put/vlen=1/seqid=0, nextIndex=2//LATEST_TIMESTAMP/Maximum/vlen=0/seqid=0, optimized=false"
